species	env	lfc	se	q_value	upper	lower	abn
Azoarcus communis	medium	-0.15743588355836846	0.502163392193311	0.8451242360141301	0.3447275086349425	-0.6595992757516794	model_calculus
Azoarcus communis	saliva	-2.6060121685686806	0.5149520154658396	7.99161315731605e-7	-2.091060153102841	-3.12096418403452	model_calculus
Neisseria sp. 10022	medium	1.6961443864710044	0.5586407392445218	0.006969637242552187	2.254785125715526	1.1375036472264826	medium
Neisseria sp. 10022	saliva	4.478611026608077	0.261319799101222	7.296289916786617e-65	4.739930825709299	4.2172912275068555	saliva
Neisseria meningitidis	medium	4.1140295560597036	1.1533358051338238	0.0014605777367957757	5.267365361193527	2.9606937509258797	medium
Neisseria meningitidis	saliva	7.729517951897832	0.3873975731935699	2.094613367465416e-87	8.116915525091402	7.342120378704262	saliva
Neisseria musculi	medium	1.6492799854980347	0.5193725795332644	0.005041405057483052	2.168652565031299	1.1299074059647702	medium
Neisseria musculi	saliva	4.507241214899431	0.22522751478489592	6.934104342226275e-88	4.732468729684327	4.282013700114535	saliva
Neisseria zoodegmatis	medium	1.6775032322664558	0.5429252451965143	0.006131689728691453	2.22042847746297	1.1345779870699415	medium
Neisseria zoodegmatis	saliva	4.385646647155966	0.2347760304805903	9.031902032501719e-77	4.620422677636556	4.150870616675375	saliva
Neisseria weaveri	medium	1.6503610771084565	0.5202690233615342	0.005041405057483052	2.1706301004699906	1.1300920537469223	medium
Neisseria weaveri	saliva	4.144125469905361	0.25558074234168443	3.335733784286314e-58	4.399706212247045	3.8885447275636764	saliva
Kingella oralis	medium	1.197101127793132	0.25376294001172417	2.167772392748444e-5	1.450864067804856	0.9433381877814079	medium
Kingella oralis	saliva	5.782943873474608	0.2456698666761039	4.718119411246219e-121	6.028613740150711	5.537274006798504	saliva
Sinorhizobium fredii	medium	0.3917529470331649	0.7729845346535666	0.756233311761023	1.1647374816867315	-0.38123158762040177	medium
Sinorhizobium fredii	saliva	-3.6904720187283795	0.5504901683061943	4.697017446053131e-11	-3.1399818504221852	-4.240962187034574	model_calculus
Methylobacterium mesophilicum	medium	0.21534745143428746	0.4706259850653832	0.7749467228516272	0.6859734364996707	-0.25527853363109576	medium
Methylobacterium mesophilicum	saliva	-2.233228833576024	0.48424820453151884	6.598830845142426e-6	-1.7489806290445054	-2.717477038107543	model_calculus
Ferrovibrio terrae	medium	-0.06169771055089024	0.5078569859845246	0.9324446927597732	0.4461592754336343	-0.5695546965354148	model_calculus
Ferrovibrio terrae	saliva	-2.5102739955612026	0.5205057386681947	2.542762655552972e-6	-1.989768256893008	-3.030779734229397	model_calculus
Sorangium cellulosum	medium	-1.7486102478009284	0.6369105919999388	0.015113144330976101	-1.1116996558009897	-2.385520839800867	model_calculus
Sorangium cellulosum	saliva	-0.22268317067928067	0.48135073957451263	0.6824089777205452	0.25866756889523196	-0.7040339102537934	model_calculus
Desulfovibrio fairfieldensis	medium	0.5499798217361755	0.9423997421669046	0.7109800117927104	1.4923795639030801	-0.39241992043072904	medium
Desulfovibrio fairfieldensis	saliva	-4.479018559377867	0.512735859584001	7.760646411027178e-18	-3.9662826997938656	-4.991754418961868	model_calculus
