sample	shannon	simp_inv	simp_unb	pilou_even	richness
SRR6129806	1.8566329544247064	2.1992520571743857	2.199253909368621	0.3808323707409661	131
SRR6129807	2.4002744275944936	3.2940559951041037	3.2940620584222517	0.4784015453916238	151
SRR6129808	2.185496473745757	2.7268896762847232	2.726894117596031	0.44037172963669857	143
SRR6129809	2.5275847861593443	3.492851660901879	3.492854633198284	0.5011643332781964	155
SRR6129810	2.426211358593766	4.497838891485101	4.497849054969833	0.4823061921261491	153
SRR6129811	2.229824198771506	3.3563856456592007	3.356387536962765	0.43619513408273886	166
SRS011247	2.270459500031057	4.24176233686348	4.241763772901846	0.4415807209243801	171
SRS011310	2.1693658414459116	4.208074223059007	4.208075694652866	0.42744660979575994	160
SRS012281	2.6851283102735666	6.154845106280029	6.154931347270486	0.5087286812873112	196
SRS013711	3.444966233993371	15.567408937965418	15.56750110515559	0.6098392537748126	284
SRS013942	3.0460669029925356	7.413255978823692	7.413276438272148	0.5451819113890468	267
SRS013950	3.677709494815165	19.36609949876481	19.366144707993765	0.6239324997328332	363
SRS014107	3.6055570412354854	15.58135175305103	15.581439211386083	0.5801744831103492	500
SRS014468	3.464497777806076	11.423089691459523	11.423293585187515	0.6059963251453042	304
SRS014477	3.7726268160595837	23.298534057503293	23.298725479499705	0.6403351391258703	362
SRS014691	3.5004571093255197	15.712249707755166	15.712277045205926	0.6363011833576357	245
SRS014692	2.996581864161723	9.926652739801659	9.9266752592272	0.5594200691456623	212
SRS015055	3.6802187386483034	22.337559739207656	22.33787924607259	0.6237767401857641	365
SRS015064	3.072159979044689	10.419771069621754	10.419781802238269	0.49019653276608616	527
SRS015378	2.458195322459723	6.485147794749899	6.485151016235763	0.46896489193341057	189
SRS015755	3.455276091224582	17.7461489561872	17.746182274513096	0.5604285342725268	476
SRS019029	3.7285545620176417	19.744627158496833	19.744669613690974	0.6660009890867041	270
SRS019120	3.476106956575465	14.50893682260408	14.50901967466239	0.6123406224146103	292
SRS019129	3.632013454497507	18.66598077356222	18.666033066788067	0.6042009694665607	408
SRS019333	2.9497755164897366	11.192774092847015	11.192787057929399	0.5047921785094059	345
SRS021960	3.139660566916096	10.17561547109303	10.175625057035797	0.5431240044362637	324
SRS022149	3.5737738926845033	14.744399899331315	14.744426198867435	0.5907324544346356	424
SRS023591	3.1278886033661597	7.333218784627626	7.333265861863012	0.567737907050601	247
SRS045313	2.771381051516116	7.005537008939191	7.005543916819855	0.5104447646022889	228
SRS047265	3.0260145021988185	9.84265351069739	9.842667703935856	0.5453186180733287	257
SRS051378	3.391211386197098	15.996827634907723	15.996855053727154	0.6102782646040531	259
SRS052604	3.2062240682920957	9.566262098849082	9.566274480596272	0.5693666288031297	279
SRS052668	2.8503792173238254	7.6475534441904385	7.647561927559443	0.5166114275574872	249
SRS056892	2.4838417222655864	6.212050022247708	6.21205309344746	0.4788234026219712	179
SRS058105	2.171837322550657	5.580044447336695	5.580046950279539	0.4370058172478928	144
SRS063215	3.285692557062432	9.608450534814333	9.6084595872431109	0.5727623372769581	310
SRS063478	3.2853262930639078	10.013472632897262	10.013568899619456	0.586830774301209	270
SRS064493	2.457869952972573	5.541781014464356	5.541785896275008	0.4260979849708153	320
SRS075406	2.869068897103519	7.969165878409555	7.9691812468973025	0.5462527677601416	191
SYN001.A0101	2.12116236093048	2.9180047677777727	2.9180057751415904	0.39131974264814245	226
SYN002.A0101	2.345341426333225	3.949060482745119	3.9490621239744303	0.4319749720529176	228
SYN003.A0101	3.0267063194592825	8.52411474029659	8.524125838892164	0.5357975079816444	284
SYN005.I0101	2.03733610313779	4.458718825508219	4.458721660358787	0.3852559054436055	198
SYN006.I0101	1.519229965615591	3.0041661922767555	3.004167187973389	0.30008917476206487	158
SYN008.I0101	1.844996599490997	4.8468437712170065	4.846847586533297	0.3766959873839664	134
SYN009.I0101	1.9774171577459816	3.787185220612436	3.787187199749211	0.3586547045015189	248
SYN012.I0101	1.864777606500314	3.3347842814209083	3.3347855621949205	0.34374097466174613	227
SYN014.A0101	0.830776643952913	1.409592444785762	1.4095924997141112	0.18555151831920702	88
SYN014.C0101	0.6486674932862342	1.290200080043058	1.2902001249910116	0.142774687616051	94
SYN015.B0101	1.9411232016920565	3.62337144904601	3.6233726111811175	0.3900395926642314	145
SYN015.D0101	1.9458903126663292	4.162875760371283	4.162878977415943	0.37976268382998063	168
SYN015.E0101	2.249922742451565	5.497979427406819	5.497989503684911	0.43961028967894245	167
SYN015.I0101	1.9017653640395284	3.6127746886413132	3.6127763640239263	0.34752764938865666	238
SYN017.A0101	2.405293975824144	6.996710857291238	6.996716431175732	0.5041821384480107	118
SYN017.B0101	1.9737538861370976	4.154477273391639	4.154479132283377	0.4036018358580466	133
SYN017.D0101	1.3413511335934705	1.8426775918434655	1.842678078541741	0.25802671917018555	181
SYN017.E0101	1.6466129592928325	2.483499170963151	2.483499881279558	0.31776953693868915	178
SYN018.C0101	2.454673547205935	7.0688542771672145	7.068860777532096	0.475271106992494	175
SYN018.I0101	1.7524067974406867	3.675092239077038	3.675093867768171	0.3511532852048492	147
SYN019.I0101	2.1359013859702203	5.191196636526643	5.191200070986016	0.39276760500080943	230
SYN021.I0101	1.2310712280265137	2.243328862280817	2.2433292342033937	0.26041257354718916	113
SYN022.I0101	1.8986143662794506	3.7205216090338062	3.7205229928110373	0.37363969286968085	161
SYN023.I0101	2.2291522641812533	4.194457077581049	4.194459556569627	0.3992394981394099	266
SYN025.I0101	2.050117600581367	4.051752749725015	4.051754262914784	0.3763936941858055	232
SYN026.I0101	1.6206194737933517	2.864705208573998	2.8647058543871946	0.32474528923342133	147
SYN028.I0101	1.9469403901865519	2.9402803580691037	2.9402810461212265	0.36127564964752207	219
