freq	prev	p.freq	p.prev	p	contaminant
6.530253405972238e-5	14	NA	0.01662003734850579	0.01662003734850579	TRUE
8.171525684563363e-5	9	NA	0.0038882970610302284	0.0038882970610302284	TRUE
8.925221520431774e-6	16	NA	0.03955163473494536	0.03955163473494536	TRUE
6.696931063758681e-6	15	NA	0.006106234714668229	0.006106234714668229	TRUE
5.422625188423074e-6	13	NA	0.0413377973819298	0.0413377973819298	TRUE
4.37369356446476e-6	7	NA	4.449116320083019e-4	4.449116320083019e-4	TRUE
3.751216968614973e-6	15	NA	0.026349227845489584	0.026349227845489584	TRUE
3.7842498534667164e-6	14	NA	0.01662003734850579	0.01662003734850579	TRUE
5.729884159607802e-6	18	NA	0.0781217881218583	0.0781217881218583	TRUE
4.7115722803986765e-6	11	NA	0.064032944721426	0.064032944721426	TRUE
